moordemo - Sheet1
kind,capacity,lat,lng
Staple or Inverted-U,40,39.9548361,-75.165979
School Yard,39,39.954398,-75.169134
School Yard,39,39.953214,-75.166146
School Yard,36,39.9572787,-75.169009
School Yard,36,39.953191,-75.16597
School Yard,36,39.9531708,-75.165816
School Yard,29,39.9544833,-75.169112
Wave,29,39.9560176,-75.16991
School Yard,26,39.9546632,-75.152878
Staple or Inverted-U,20,39.952612,-75.156266
School Yard,20,39.9473361,-75.183491
School Yard,18,39.9586247,-75.16341
School Yard,18,39.9477041,-75.164743
School Yard,18,39.9559012,-75.166273
Wave,18,39.9460032,-75.176361
Wave,16,39.9537749,-75.163691
Staple or Inverted-U,16,39.9538148,-75.158748
Staple or Inverted-U,16,39.9544208,-75.164477
School Yard,15,39.9521426,-75.175006
Staple or Inverted-U,14,39.9569529,-75.164756
School Yard,14,39.951841,-75.161604
Street Corral,14,39.9494709,-75.166766
School Yard,14,39.9491286,-75.169033
Street Corral,12,39.941949,-75.151957
School Yard,12,39.9410394,-75.151911
Street Corral,12,39.9529963,-75.159293
Street Corral,12,39.9426832,-75.157546
Staple or Inverted-U,12,39.9517769,-75.179427
Street Corral,12,39.9518963,-75.172001
Wave,11,39.9490325,-75.155895
Wave,11,39.9490314,-75.155848
Wave,11,39.9490233,-75.155805
Wave,10,39.9491302,-75.155692
Street Corral,10,39.9539074,-75.164807
Wave,10,39.9576363,-75.164402
School Yard,10,39.952473,-75.154599
School Yard,10,39.9490771,-75.164207
School Yard,10,39.9485011,-75.164352
Street Corral,10,39.9499042,-75.163408
School Yard,10,39.9519324,-75.173183
School Yard,10,39.9487474,-75.164281
School Yard,10,39.9486906,-75.164299
School Yard,10,39.9457222,-75.164916
School Yard,10,39.9456842,-75.164924
School Yard,10,39.9456536,-75.164941
School Yard,10,39.945687,-75.16494
School Yard,10,39.9454151,-75.164937
School Yard,10,39.945275,-75.164958
School Yard,10,39.9419911,-75.158777
School Yard,10,39.9427104,-75.157378
Staple or Inverted-U,10,39.9456988,-75.165888
Staple or Inverted-U,10,39.9456515,-75.165484
School Yard,10,39.9520761,-75.172787
School Yard,10,39.9458442,-75.174219
Staple or Inverted-U,10,39.9481775,-75.160738
Converted Parking Meter,10,39.9481987,-75.160734
Staple or Inverted-U,10,39.9479113,-75.157466
School Yard,10,39.9428842,-75.158666
School Yard,9,39.9404008,-75.145793
